cutoff,ate,ci_lo,ci_hi,n_train,n_eval
2019-11-24,-1.6561751912094418,-4.8793024840972645,2.564872990105473,204,568
2019-11-28,-1.003129188972255,-4.427396707485364,3.2691586032064994,208,564
2019-12-03,-1.4479739380992676,-4.811447705766779,2.567976706650797,213,559
2019-12-11,0.093166461146583,-3.684134866809919,4.285080979571795,221,551
2019-12-26,-0.9915467741686104,-4.815178272973245,2.8803845293786083,236,536
2020-01-05,-0.8772554878863181,-4.492962692676991,2.6339458899809487,246,526
2020-01-08,-0.828333532915161,-4.522739226936159,2.917781346404016,249,523
2020-01-12,-1.2056435979079738,-4.939132592778478,2.2734357673712395,253,519
2020-01-24,-1.4304690474731303,-4.5801567079761645,1.8617601185000785,265,507
2020-01-25,-1.4401856609861934,-4.586826568535665,1.826763596491438,266,506
2020-02-04,-2.0255104198476097,-5.779673579074271,0.9238803894728528,276,496
2020-02-18,-3.511211997829641,-6.184946132708356,-0.8925294305598669,290,482
2020-03-06,-4.414685346839361,-7.138559190663803,-1.3780234759994612,307,465
2020-03-09,-4.047947905373377,-6.687697590518125,-1.1465236504918013,310,462
2020-03-23,-4.105749071804658,-6.575574687092888,-1.2337086222305629,324,448
2020-03-31,-5.785195490544612,-8.627363624882388,-2.9936690106191866,332,440
2020-04-01,-5.716788786245218,-8.630229308980049,-2.868794196971848,333,439
2020-05-16,-6.656126120477897,-9.115153081813274,-3.908077998764848,378,394
2020-05-24,-6.26799912661482,-8.527267134244584,-3.7841592460734006,386,386
2020-05-31,-6.381950037573899,-8.96317004996262,-3.5139482031648592,393,379
2020-06-18,-6.328853059132158,-9.088509743427968,-3.1354134318534728,411,361
2020-07-06,-6.112805270717874,-8.954648561614848,-2.8910344983836844,429,343
2020-07-13,-5.860169457665667,-8.747206431564893,-2.342668211095188,436,336
2020-07-26,-5.4830556009378055,-9.068220776811536,-2.367291749388309,447,325
2020-07-27,-5.4830556009378055,-9.068220776811536,-2.367291749388309,447,325
2020-08-07,-5.657060859121067,-8.903691915392066,-2.129230574040936,458,314
2020-08-14,-5.928349068383556,-8.757021790651345,-1.849727348855806,465,307
2020-08-31,-5.515805835355272,-9.134931549250789,-1.305652679368194,482,290
2020-10-04,-4.62080115708676,-8.511482524925045,-0.1805495653833671,516,256
2020-10-16,-4.174537096451347,-8.349458716222776,0.4000013307330201,528,244
2020-10-26,-4.767081932419165,-8.998948866361147,-0.1088220061152434,530,242
2020-11-07,-4.261552540077865,-8.18912878240563,0.4033252918476947,541,231
2020-11-19,-4.706415890235852,-8.565049108728632,0.5780202173726438,550,222
2020-11-24,-3.939502321284723,-8.46737374424385,1.4122981107258483,555,217
2020-11-30,-3.7950668975478825,-7.925779734064617,0.930367137673906,561,211
2020-12-30,-2.2231914992960964,-4.856935855169981,2.9254680520639487,591,181
